id,name,position,year,Estimate,Std. Error,z value,Pr(>|z|)
5900,Dalyan Yet,Skipper,26,-2.0138952060983,0.788916161132029,-2.55273665988605,0.0106880271583792
6264,Kahlia Bailey,Skipper,25,-2.02018466218256,1.05425490620975,-1.91622030903846,0.0553370593683298
5189,Tanner Knox,Skipper,24,-2.02428004115562,1.21530355022033,-1.66565796733551,0.0957815583452527
5824,Rose von Eckartsberg,Skipper,25,-2.0256997123913,0.717648627465921,-2.82269015067195,0.0047622572132413
6365,Allison Sasaki,Skipper,24,-2.03481679323201,0.770884612366122,-2.63958673008976,0.0083007180824691
5784,William Robertson,Skipper,25,-2.04279436012623,0.78271333117445,-2.60988829340755,0.0090571792804493
6358,Aidan Clark,Skipper,24,-2.04296394262911,0.880984470861671,-2.31895567992354,0.0203974395663919
5840,Cecilia Dietsch,Skipper,26,-2.05472817857205,0.823644221152114,-2.49467928725087,0.0126071019501385
3687,Jacob Barilla,Skipper,22,-2.05552968619319,0.805878702388286,-2.55066882907001,0.010751643577736
5574,Reid Kwiatkowski,Skipper,26,-2.056770845965,0.7408717954141,-2.77614947511317,0.0055006912919171
5940,Sadie Creemer,Skipper,25,-2.05763224804362,0.758981059471905,-2.71104558192178,0.0067071405259558
6436,Peter Hall,Skipper,24,-2.06477341151425,0.814688825093089,-2.53443197932453,0.0112629791171841
6687,Alec Purrington,Skipper,28,-2.06548064053621,0.966435260135677,-2.13721573056662,0.0325804491659474
6611,Matthew Sexton,Skipper,28,-2.06988547691461,0.847131886609463,-2.44340404325832,0.0145494381380183
6341,Laurel Krause,Skipper,24,-2.07071282230686,0.872891213502733,-2.37224615195462,0.0176803075267807
5697,Kathleen Hanson,Skipper,25,-2.07105411383179,0.735076414785022,-2.81746777909816,0.004840397109853
4349,Jeffrey Romeo,Skipper,22,-2.07306085949826,0.735005946799335,-2.82046814522472,0.004795363429167
5774,Gavin Hirz,Skipper,26,-2.08297008570622,0.723140926493574,-2.88044834608698,0.0039711001673
5769,Jamie Kim,Skipper,26,-2.08527323703027,1.17437085120196,-1.77565139231446,0.0757903937158289
6618,Shay Bridge,Skipper,28,-2.08594071552625,0.879273240479446,-2.3723464100748,0.0176755101853827
5471,Nick Harrington,Skipper,23,-2.08920334886433,0.93617831337705,-2.23162972161576,0.0256394455901263
6304,Michael Mignogna,Skipper,27,-2.09461464248184,0.850695995924695,-2.46223639527658,0.0138073627931827
5915,Adrian Whitney,Skipper,26,-2.09879644040288,0.844569345922076,-2.48504927456427,0.0129533503691712
6670,Rachel Ward,Skipper,27,-2.10202066143974,0.895285672455362,-2.34787702530171,0.0188807538181081
5173,Adam Frederick,Skipper,24,-2.10405788007633,1.08094675238992,-1.94649539898647,0.0515952600891407
5311,Isaac Miller,Skipper,24,-2.10680320922315,0.970543664134217,-2.17074541525398,0.0299504221314434
5474,Sienna Stromberg,Skipper,25,-2.11922254166064,0.748653531434338,-2.83071200853143,0.004644451918099
5422,Nok In Chan,Skipper,24,-2.12548734409295,0.959206666654657,-2.21588049581205,0.0266996876448758
5448,Gray Dinsel,Skipper,25,-2.12939449012488,0.738913640771403,-2.88179074337004,0.0039542224104586
6068,Zuzanna Barska,Skipper,26,-2.13897585676798,0.843619382576711,-2.53547500323522,0.0112294942479718
6207,Peter Vinogradov,Skipper,27,-2.13899072443625,1.08117203485854,-1.97839997287398,0.0478836028000124
5927,Cameron McLean,Skipper,26,-2.13911716124286,0.770285033178908,-2.77704624795173,0.0054855373056986
6213,Dan Borras-Quintero,Skipper,25,-2.13958960521377,1.04973420714476,-2.03822033296731,0.0415279029410432
6698,Andrea Casagrande Caron,Skipper,28,-2.13980085811403,0.810869721524894,-2.63889599193566,0.0083176495199429
4453,Antoine Kepczyk,Skipper,22,-2.13989850558692,0.912734760771562,-2.34449108060484,0.0190530662379635
5565,Henry Powell,Skipper,26,-2.14000104994146,0.752791483479462,-2.84275406524288,0.0044725567862904
4376,Daniel Childress,Skipper,22,-2.14458973124955,0.886635486772816,-2.41879528086052,0.0155720012511127
6445,Aidan Ulian,Skipper,27,-2.14879825093403,0.920955234692013,-2.33322768576546,0.0196361984978561
5394,Max Lawall,Skipper,23,-2.15485783201315,1.0670100108733,-2.01952916097713,0.0434322495575498
6328,Andrew Down,Skipper,27,-2.15692209133267,0.748822709941756,-2.88041757107024,0.0039714878627576
