"","Estimate","Std. Error","z value","Pr(>|z|)"
"61",-1.66792897719368,0.193325497360941,-8.62756853059915,6.26699862490317e-18
"62",0.153355903839013,0.205157649834317,0.747502732473597,0.454760154026335
"63",-1.02104476420232,0.27367705597363,-3.73083801479032,0.000190843905034148
"64",-0.641352021174839,0.108197298565999,-5.92761584323312,3.07364510784398e-09
"65",-3.06022126694776,0.305499132853026,-10.0171193232814,1.28184634201226e-23
"66",-2.12221762041156,0.533601934744062,-3.97715503304812,6.97446960837411e-05
"67",-3.23604043679525,0.303271648368095,-10.670435084217,1.39969436529259e-26
"68",-3.13368965605797,0.338176279371467,-9.26643838498144,1.92465429069283e-20
"69",-3.80167296029399,0.32028601036354,-11.8696191443982,1.70240862919169e-32
"70",-3.47892587536488,0.278150120359539,-12.5073678590108,6.80416775736301e-36
"71",-0.585842374495803,0.147617609174334,-3.96864830539243,7.22814670643018e-05
"72",-0.430678307840822,0.124189580071538,-3.46791017082702,0.000524522591871502
"73",-0.700462231537488,0.242038143557677,-2.89401588213128,0.00380348923142783
"74",0.555232430646947,0.261614864565913,2.12232753505128,0.0338102427671817
"75",-0.614386915647171,0.126044513049487,-4.87436462550302,1.09159209160972e-06
"76",-1.57158631295912,0.188908284326679,-8.31930859231867,8.8477913726056e-17
"77",-2.33812323092963,0.457436628165504,-5.11135988455145,3.1984800663544e-07
"78",-3.2769826125717,0.18988970511359,-17.2572947575617,9.86244093856987e-67
"79",-2.53731810951519,0.154882572202152,-16.3822053923762,2.56279828311323e-60
"80",-2.44915722933245,0.640895761067802,-3.82145955412762,0.000132664174040488
"81",0.0265945069889804,0.122616953541179,0.216890945509008,0.828293334093655
"82",-0.835102885513775,0.162771672902874,-5.13051731066301,2.88946984579636e-07
"83",0.130333793808761,0.332175193568879,0.392364620634246,0.694788823136413
"84",0.239163122194478,0.129872878317225,1.84151706879324,0.0655458216053077
"85",-0.674727078072822,0.131126380746704,-5.14562420033685,2.66632721258942e-07
"86",-0.714326582201338,0.266416048812073,-2.68124456235448,0.00733488887790054
"87",-1.80111982429225,0.646349812923353,-2.78660222108835,0.00532638160898209
"88",-0.409772806226398,0.11197412574361,-3.65953119531083,0.000252677083499215
"89",-1.10252387842301,0.124762232091814,-8.83700026793082,9.83229050299641e-19
"90",-0.998821224611746,0.116138177777544,-8.60028324643542,7.95195978238064e-18
"91",-0.46384669863434,0.138834126485131,-3.34101355608714,0.000834731473098383
"92",-1.17398005729561,0.125310802432868,-9.36854632244925,7.35383345136939e-21
"93",-0.200093951687326,0.299667312525717,-0.667720312905849,0.504312141211534
"94",-0.396453336549386,0.175065534201829,-2.26459958755972,0.0235372622598273
"95",-1.07355667884296,0.159902958889879,-6.71380120978434,1.89618597214799e-11
"96",-0.952937042305295,0.126349749378266,-7.54205724185801,4.62614587593076e-14
"97",-0.589850111121566,0.123329874032928,-4.78270261562158,1.72953907876521e-06
"98",-1.74158162524469,0.422776111934885,-4.11939458280681,3.79869163151559e-05
"99",-2.08665240954509,0.246727097853976,-8.45732968812392,2.73569665151071e-17
"100",-2.54630158319662,0.196549357285591,-12.9550237068279,2.20068097994087e-38
"101",-0.596317011078823,0.357436642616928,-1.66831527599678,0.0952531570201424
"102",-0.130676935719772,0.125238166859286,-1.04342740713058,0.296750385554837
"103",-2.28154265253583,0.810667408306816,-2.81440036833493,0.00488683232392506
"104",-2.34586557363809,0.256615211357046,-9.14156865928781,6.15529046247624e-20
"105",0.236111544543138,0.105639281800177,2.23507336020853,0.0254125329752282
"106",-0.918938494155051,0.251400691357952,-3.65527433194938,0.000256907110483679
"107",-0.163557236006902,0.115131340248525,-1.42061436663417,0.155428899570964
"108",-1.06134201914723,0.145994214218804,-7.26975397502106,3.60142808560381e-13
"109",-1.31169754711688,0.347601420543741,-3.77356785557733,0.000160929422382085
"110",-0.960005367478438,0.323400990084219,-2.96846762042515,0.00299288632819859
"111",-1.18748012338671,0.831595545048523,-1.42795392598865,0.153305120465395
"112",0.188525008431525,0.105735405711727,1.78298846221399,0.0745881815026718
"113",0.103387427681492,0.152285362857429,0.678905876057733,0.497197502310366
"114",-0.0970298019815148,0.246355275448729,-0.393861271307374,0.693683464985172
"115",-0.613757737398575,0.293582146719749,-2.09058263336586,0.0365654938692861
"116",-5.38936292178925,0.604868600847928,-8.90997303254662,5.1044978141281e-19
"117",-1.47910341469134,1.29430207432738,-1.14278068777723,0.253129659003098
"118",-0.879939679428255,0.690344646686922,-1.27463823128235,0.202437319019674
"119",0.250200141872719,0.120609267962323,2.074468621689,0.0380358100090108
"120",0.543378213016625,0.13472089391764,4.03336258553045,5.49843393734446e-05
"121",0.0176287328128999,0.303105292393541,0.0581604256187365,0.953620843115954
