id,name,year
90,Ayden Feria,Skipper,27
91,Rajshibhu Pandey,Crew,27
92,Jacob Nasser,Skipper,26
93,Gabriella Martinez,Crew,27
94,Edward Lucas Brady,Crew,27
95,Ander Alonso,Skipper,27
96,Julian Drake,Skipper,25
97,Maddison Carew,Skipper,27
98,Jane Caroline Minchew,Crew,25
99,Benjamin Usher,Skipper,27
100,Marc Hauenstein,Crew,27
101,Charles Mckenzie,Skipper,25
102,Nina Lubchenco,Skipper,25
103,Kathleen Hale,Crew,26
104,Julia Brighton,Crew,27
105,"Francis ""Mac"" Humphrey",Crew,26
106,Eli Perl,Crew,25
107,Nilah Miller,Skipper,25
108,Sam Heighway,Crew,25
109,Rowan Barnes,Skipper,26
110,Vanessa Marahrens,Crew,26
111,Garrett Cook,Skipper,24
112,Jonathan Caruso,Crew,25
113,Samantha Bialek,Skipper,24
114,Dillan Smith,Crew,23
115,Danielle Clement,Skipper,26
116,Matthew Blessington,Crew,24
117,Dylan Flack,Skipper,27
118,Amelia Dunat,Crew,25
119,Lindsey McDonough,Crew,25
120,Jessica Baugh,Crew,27
121,Jacob Usher,Skipper,25
122,Jacob Friend,Crew,25
123,Ashton Loring,Skipper,26
124,Carter Durst,Crew,26
125,Harrison Thomson,Crew,26
126,Grace Beard,Skipper,25
127,Ryan Froeb,Skipper,27
128,Kay Lyon,Skipper,27
129,Noah Jost,Skipper,27
130,Megan Miller,Crew,26
131,Annika Milstien,Crew,25
132,Shea Hoffacker,Crew,27
133,Matthew Laufer,Skipper,27
134,Ellie Spicer,Crew,27
135,Antonio Priskich,Skipper,27
136,Paige Phillips,Crew,25
137,Jack Houseal,Skipper,27
138,Jackson Ward,Crew,25
139,May Proctor,Skipper,27
140,Sarina Schmoyer,Crew,27
141,Magnolia Smith,Crew,25
142,Earl Tyler,Skipper,26
143,Adam Larzelere,Skipper,25
144,Stefano Chiampo,Crew,26
145,Nolan Cooper,Skipper,25
146,Wilson Kaznoski,Crew,24
147,Blake Vogel,Skipper,26
148,Thomas Mazzeo,Crew,26
149,James Jagielski,Skipper,25
150,Solomiiia Kachur,Crew,26
151,Daniel van Heeckeren,Crew,26
152,Anna Steffen,Crew,25
153,Walter Chiles,Skipper,26
154,Isabelle Vagell,Crew,26
155,Audrey Commerford,Skipper,25
156,Lane Kaeyer,Crew,27
157,Harry Kaya Prager,Skipper,25
158,Sean Beaver,Crew,27
159,Isabella Cho,Skipper,27
160,Andrew Wagner,Crew,26
161,Ted Richardsson,Crew,27
162,Isabella Gioseffi,Crew,27
163,Keller Morrison,Skipper,25
164,Spencer Dellenbaugh,Crew,23
165,James Sullivan,Skipper,25
166,Trixie Williams,Crew,26
167,Cameron Frary,Skipper,24
168,Matthew Straub,Crew,27
169,Alden Coldreck,Skipper,25
170,Parker Brown,Crew,26
171,Sonja Krajewski,Skipper,26
172,Autumn Horsey,Skipper,27
173,Harrison Nash,Skipper,27
174,ZIYUE ZHOU,Skipper,27
175,Nicholas Belev,Crew,26
176,Jordynn Johnson,Skipper,27
177,Sabina Coroi,Crew,27
178,Maria Skouloudi,Skipper,27
179,Cody Lamoreux,Crew,27
180,Greta Traver,Skipper,27
181,Harrison Vose,Crew,26
182,Caitlin Derby,Skipper,26
183,Alex Forrest,Crew,26
184,Anthony Purcell,Skipper,24
185,Ella Gibson,Crew,27
186,Annecy Kagan,Skipper,26
187,Michael Salvatore,Crew,26
188,Jean-Luc Depardieu,Skipper,27
189,William Salerno,Crew,25
190,Brendan OBrien,Skipper,27
191,Claire Komar,Crew,27
192,Timothy Cronin,Skipper,27
193,Jane Matthews,Skipper,26
194,William Procter,Skipper,24
195,Dalyan Yet,Skipper,26
196,Harry Stevenson,Skipper,24
197,Maggie Forger,Crew,25
198,Max Boni,Skipper,28
199,Ryan Tedeschi,Crew,28
200,Jake Lacoche,Skipper,26
201,Cameron McLean,Crew,26
202,Patience Gifford,Crew,27
203,Tucker Gibbs,Crew,27
204,Rohan Shah,Skipper,27
205,Allysen Bell,Crew,24
206,Lucas Wiatrowski,Skipper,27
207,Amelia Fisher,Crew,26
208,Sylvia Burns,Crew,26
209,Talia Trigg,Skipper,26
210,Juan Carrau Carrero,Skipper,25
211,Akash Shah,Crew,27
212,J.J. Smith,Skipper,24
213,Kit Harned,Crew,27
214,Piper Holthus,Skipper,25
215,Audrey Fung,Crew,24
216,Eva Ermlich,Skipper,26
217,Abigail Thress,Crew,24
218,Ava Anderson,Skipper,27
219,Essie Clifton,Skipper,25
220,Grace Squires,Skipper,24
