"","coefs"
"2774",-2.17405365388461
"2775",-2.94604804335825
"2776",-3.00332979665325
"2777",-6.27143102958524
"2778",-3.49852821488369
"2783",-4.95398327550677
"2784",-2.66750709524135
"2785",-8.8027943846854
"2787",-0.732916360895274
"2788",-2.48035271280798
"2790",-3.07952388094807
"2794",-1.8150581989315
"2798",-4.00938344316685
"2803",-3.53884576422919
"2806",-2.02549023646509
"2807",-1.29152648534014
"2811",-3.02445696396435
"2815",-3.30082259885171
"2817",-2.61272401273024
"2819",-3.43421496914883
"2822",-3.25716760381999
"2825",-1.09874679452182
"2826",-2.99773645910915
"2829",-1.78006288918235
"2830",-5.11116261273739
"2831",-2.51330656818104
"2834",-2.68637169065767
"2835",-3.6815994634571
"2838",-1.49928665614851
"2839",-2.29112548544697
"2841",-1.0533624477074
"2846",-3.93449922486201
"2847",-4.74712441243159
"2852",-1.90616422506898
"2855",-5.99385999444564
"2859",-5.21112998374653
"2861",-5.25345203654857
"2862",-1.94761677929728
"2863",-1.57080285410709
"2868",-2.47517444395686
"2872",-3.78172170989532
"2883",-5.49943595046318
"2886",-0.167633460262493
"2888",-0.931400572229137
"2890",-7.61338354648515
"2896",-3.69643059752653
"2897",-2.7945726176242
"2899",-2.85083407541714
"2900",-4.595648497897
"2902",-3.43973641096997
"2907",-4.42658174443795
"2911",-2.07731414568846
"2912",-1.99109895015081
"2916",-2.96010159429392
"2917",-10.3960150941002
"2918",-1.24764835321309
"2919",-2.8311398161938
"2922",-3.04533686829919
"2923",-2.21818971895613
"2926",-3.94534784165037
"2927",-1.21305809880613
"2928",-1.39163049131159
"2929",-1.74669577335672
"2932",-1.45310127438216
"2935",-4.70889114704258
"2936",-3.32992672831253
"2946",-3.56555786686306
"2952",-3.75590885558341
"2953",-5.77660931754079
"2956",-7.48106139140739
"2962",-5.38992481948841
"2967",-4.81570140206387
"2970",-2.42044161171097
"2971",-3.89533962512255
"2972",-5.82763985504064
"2973",-6.86712097537924
"2975",-2.07737425516311
"2979",-1.72322409655089
"2981",-2.84939360739818
"2984",-3.43223965904892
"2985",-2.32839970064876
"2986",-0.552140429594573
