id,name,position,year,Adjusted Estimate,Std. Error,z value,Pr(>|z|)
104,Matt Budington,Skipper,25,2.5866399653770142,0.243307563798804,-2.46007943786969,0.0138906266349325
105,Ian Hopkins Guerra,Skipper,26,2.586524474561873,0.128523717029593,-4.65806186928829,3.19200290794796e-06
106,Okyanus Arıkan,Skipper,26,2.5862252984219563,0.13648412413502,-4.38857343687913,1.14096608199205e-05
107,Alexis Young,Skipper,27,2.577109832262629,1.56519314215674,-0.388505451190569,0.697642020801466
108,Zoey Ziskind,Skipper,27,2.5756686421780293,0.126078826865571,-4.83449341282725,1.33485124669487e-06
109,Keiran James Golden,Skipper,24,2.571438162758045,0.293582146719749,-2.09058263336586,0.0365654938692861
110,Tyler Lamm,Skipper,28,2.5627526432910663,0.172298683132387,-3.61258278676045,0.0003031622720928
111,Samantha Gardner,Skipper,27,2.545601079396416,0.142285070580551,-4.49516465888185,6.95161326941117e-06
112,Adam Larson,Skipper,24,2.543843878981781,0.108197298565999,-5.92761584323312,3.07364510784398e-09
113,Charlie Anderson,Skipper,25,2.540264571906831,0.136430718195708,-4.72717095371913,2.27669579201245e-06
114,Leo Terry,Skipper,25,2.533562317217838,1.56122586177247,-0.417385849731556,0.676396203303435
115,Martins Atilla,Skipper,27,2.532203813278413,0.156633700794293,-4.16891182144628,3.06057359262154e-05
116,Aston Smith,Skipper,28,2.530342632984801,0.721500462887849,-0.907626953627624,0.364075348760526
117,Sarah Young,Skipper,25,2.510481686720304,0.111675480292426,-6.04173997433953,1.52461033738705e-09
118,Emma Tallman,Skipper,25,2.507325408920336,0.11207827409935,-6.04818816745336,1.46483813541092e-09
119,Jacob Zils,Skipper,27,2.5073050468201292,0.128498633055828,-5.27547131993202,1.3241531995391e-07
120,Cam Spriggs,Skipper,27,2.507199217093845,0.16780738568905,-4.04032683233094,5.33767645923383e-05
121,Harrison Strom,Skipper,28,2.502741997050993,0.159733620126303,-4.27244998620832,1.93336926157876e-05
122,John Eastman,Skipper,25,2.4989144257407574,0.115550367828276,-5.93924093288715,2.86344782521674e-09
123,Sofia Segalla,Skipper,25,2.48910549427036,0.110593279877257,-6.29414740804163,3.09093994931568e-10
124,Tyler Wood,Skipper,26,2.487961792297327,0.113256183170178,-6.15625644748803,7.44845776443834e-10
