s22/,sunday-salve-invite,Salve Regina,"April 3, 2022",NOT ALLOWED  In-Conference Regatta,FJ/Lark,2 Divisions
s22/,herring-pond-team-race,Mass Maritime,"April 3, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Team
s22/,central-series-april,Mass Maritime,"April 2, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Combined
s22/,yale-tr-connecticut,Yale,"April 2, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Team
s22/,boston,Boston University,"April 2-3, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,stony-brook-cup,Stony Brook,"April 2-3, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,north-designate-st-francis,Cal Maritime,"April 2-3, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,saturday-salve-invite,Salve Regina,"April 2, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,jumbo-team-race,Tufts,"April 2-3, 2022",NOT ALLOWED  In-Conference Regatta,Lark,Team
s22/,laker-showdown,Grand Valley State,"April 2-3, 2022",NOT ALLOWED  In-Conference Regatta,420,2 Divisions
s22/,lake-virginia-invatational,Rollins,"April 2, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Combined
s22/,big-ten-team-race,Michigan,"April 2-3, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Team
s22/,spring-open,William and Mary,"April 2-3, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,volunteer-open,Tennessee,"April 2, 2022",NOT ALLOWED  Two-Conference Regatta,420,2 Divisions
s22/,j70-invite,Coast Guard,"April 2-3, 2022",NOT ALLOWED  Promotional Regatta,J-70,1 Division
s22/,garner-tullis-team-race,Tulane,"April 2-3, 2022",Regional Regatta,Z420,Team
s22/,39th-lynne-marchiando,MIT,"April 2-3, 2022",Cross Regional Regatta,FJ,Team
s22/,saisa-women-team-racing,South Florida,"April 3, 2022",Conference Championship Regatta,FJ,Team
s22/,neisa-women-team-race-champs-dellenbaugh,Brown,"April 2-3, 2022",Conference Championship Regatta,FJ/Z420,Team
s22/,maisa-women-team-race,Georgetown,"April 2-3, 2022",Conference Championship Regatta,FJ,Team
s22/,mcsa-women-team-race,Northwestern,"April 2-3, 2022",Conference Championship Regatta,420,Team
s22/,saisa-women-spring-fleet-racing,South Florida,"April 2, 2022",Conference Championship Regatta,FJ,Combined
s22/,hoosier-daddy,Indiana,"April 9-10, 2022",NOT ALLOWED  In-Conference Regatta,420,2 Divisions
s22/,admiral-alymers,Mass Maritime,"April 9, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Combined
s22/,south-fleet-race-ewenson,Rhode Island,"April 9-10, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Combined
s22/,ne-dinghy-tourney,Maine Maritime,"April 9, 2022",NOT ALLOWED  In-Conference Regatta,420,Combined
s22/,halifax-river-invitational,Embry-Riddle,"April 9, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Combined
s22/,jeremy-pinkerton,Maryland,"April 9-10, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,west-li-sound-fleet-race-invite,Kings Point,"April 9, 2022",Scrimmage Regatta,420,1 Division
s22/,mystic-lake-tr,Tufts,"April 9-10, 2022",Fundamental Regatta,Lark,Team
s22/,camel-women-team-race,Connecticut College,"April 9-10, 2022",Cross Regional Regatta,Conn College FJ/FJ,Team
s22/,emily-wick,Coast Guard,"April 9-10, 2022",Cross Regional Regatta,FJ,2 Divisions
s22/,pccsc-open-dinghy-conference,UC Santa Barbara,"April 9-10, 2022",Conference Championship Regatta,FJ,2 Divisions
s22/,saisa-coed-fleet-race-championships,Charleston,"April 9-10, 2022",Conference Championship Regatta,420,2 Divisions
s22/,seisa-open-team-race,Tulane,"April 9, 2022",Conference Championship Regatta,Z420,Team
s22/,mcsa-open-fleet-race,Wisconsin,"April 9-10, 2022",Conference Championship Regatta,420,2 Divisions
s22/,seisa-women-team-race,Tulane,"April 9, 2022",Conference Championship Regatta,Z420,Team
s22/,2022-neisa-team-race,Harvard,"April 9-10, 2022",Conference Championship Regatta,420/FJ,Team
s22/,prosser-maisa-team-race,Navy,"April 9-10, 2022",Conference Championship Regatta,Z420,Team
s22/,saisa-coed-team-race-championships,Charleston,"April 9, 2022",Conference Championship Regatta,420/FJ,Team
s22/,mcsa-open-team-race-qualifier,Wisconsin,"April 8-9, 2022",Conference Championship Regatta,420,Team
s22/,carter-ford-pccsc-open-team-race,UC Santa Barbara,"April 8-9, 2022",Conference Championship Regatta,FJ/Z420,Team
s22/,central-series-four,Tufts,"April 17, 2022",NOT ALLOWED  In-Conference Regatta,Lark,2 Divisions
s22/,island-cup,Western Washington,"April 16-17, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Team
s22/,priddy,Rhode Island,"April 16, 2022",NOT ALLOWED  In-Conference Regatta,FJ,1 Division
s22/,mma-420-invite,Maine Maritime,"April 16, 2022",NOT ALLOWED  In-Conference Regatta,420,Combined
s22/,mma-colgate-invite,Maine Maritime,"April 16, 2022",NOT ALLOWED  In-Conference Regatta,Colgate 26,1 Division
s22/,grant,Washington College,"April 16-17, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,oxford-fleet-race,Miami University,"April 16, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,buckeye-interconference,Ohio State,"April 16-17, 2022",NOT ALLOWED  In-Conference Regatta,420,2 Divisions
s22/,gt-j24-spring-invitational,Georgia Tech,"April 16, 2022",NOT ALLOWED  Promotional Regatta,J-22,1 Division
s22/,thompson-throphy,Connecticut College,"April 16-17, 2022",NOT ALLOWED  Interconference Regatta,FJ,3 Divisions
s22/,owen-mosbacher-knapp,Kings Point,"April 16-17, 2022",Regional Regatta,420,Combined
s22/,spring-oberg,Northeastern,"April 16-17, 2022",Cross Regional Regatta,FJ,3 Divisions
s22/,navy-spring,Navy,"April 16-17, 2022",Cross Regional Regatta,Z420,2 Divisions
s22/,2022-womens-pccs,Hawaii,"April 16-17, 2022",Conference Championship Regatta,FJ,2 Divisions
s22/,maisa-spring-women,Cornell,"April 16-17, 2022",Conference Championship Regatta,420/FJ,2 Divisions
s22/,mcsa-women-fleet-race,Michigan,"April 16-17, 2022",Conference Championship Regatta,FJ,2 Divisions
s22/,neisa-women,Bowdoin,"April 16-17, 2022",Conference Championship Regatta,FJ,2 Divisions
s22/,otoole,Mass Maritime,"April 23-24, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,hammer-showdown,Purdue,"April 23-24, 2022",NOT ALLOWED  In-Conference Regatta,420,2 Divisions
s22/,anteater-open,UC Irvine,"April 23-24, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,delaware-spring-open,Delaware,"April 23-24, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,gw-invite,George Washington,"April 23-24, 2022",NOT ALLOWED  In-Conference Regatta,Z420,Combined
s22/,george-morris,Boston University,"April 23-24, 2022",NOT ALLOWED  Interconference Regatta,FJ,2 Divisions
s22/,rainier-cup,Western Washington,"April 23-24, 2022",NOT ALLOWED  Interconference Regatta,FJ,2 Divisions
s22/,rainier-cup-jv,Western Washington,"April 23-24, 2022",NOT ALLOWED  Interconference Regatta,FJ,2 Divisions
s22/,admirals-cup,Kings Point,"April 23-24, 2022",NOT ALLOWED  Interconference Regatta,FJ,2 Divisions
s22/,sailpack-oriental-intercollegiate,North Carolina State,"April 23-24, 2022",NOT ALLOWED  Interconference Regatta,FJ,2 Divisions
